time,v,w,noise
2.066999969482421875e+02,6.248762086033821106e-02,-1.030741166323423386e-02,9.150531142950057983e-03
2.068000030517578125e+02,6.328473985195159912e-02,-1.026586070656776428e-02,-3.067768411710858345e-04
2.068999938964843750e+02,6.942468136548995972e-02,-1.022395212203264236e-02,5.034604575484991074e-03
2.070000000000000000e+02,6.871310621500015259e-02,-1.017901580780744553e-02,-1.859460026025772095e-03
2.071000061035156250e+02,6.660480797290802002e-02,-1.013447996228933334e-02,-3.245947416871786118e-03
2.071999969482421875e+02,5.437432602047920227e-02,-1.009104307740926743e-02,-1.334716007113456726e-02
2.073000030517578125e+02,3.664334863424301147e-02,-1.005376502871513367e-02,-1.876257546246051788e-02
2.073999938964843750e+02,3.512018173933029175e-02,-1.002538949251174927e-02,-2.481393981724977493e-03
2.075000000000000000e+02,3.660827130079269409e-02,-9.997803717851638794e-03,5.359746864996850491e-04
2.076000061035156250e+02,2.535952068865299225e-02,-9.969501756131649017e-03,-1.220130082219839096e-02
2.076999969482421875e+02,2.596851065754890442e-02,-9.946852922439575195e-03,-3.270572924520820379e-04
2.078000030517578125e+02,2.741235122084617615e-02,-9.923921898007392883e-03,5.099416011944413185e-04
2.078999938964843750e+02,7.890834473073482513e-03,-9.900291450321674347e-03,-2.045368775725364685e-02
2.080000000000000000e+02,1.662633585510775447e-04,-9.886445477604866028e-03,-8.681634441018104553e-03
2.081000061035156250e+02,5.017723888158798218e-03,-9.876475669443607330e-03,3.863644553348422050e-03
2.081999969482421875e+02,9.654874913394451141e-03,-9.864090010523796082e-03,3.671961603686213493e-03
2.083000030517578125e+02,-3.420139546506106853e-04,-9.849398396909236908e-03,-1.094472128897905350e-02
2.083999938964843750e+02,2.147818449884653091e-03,-9.839720092713832855e-03,1.503170235082507133e-03
2.085000000000000000e+02,1.282094139605760574e-02,-9.828806854784488678e-03,9.699407033622264862e-03
2.086000061035156250e+02,2.112872712314128876e-02,-9.812567383050918579e-03,7.371961604803800583e-03
2.086999969482421875e+02,2.114631049335002899e-02,-9.792190045118331909e-03,-9.039603755809366703e-04
2.088000030517578125e+02,1.762619242072105408e-02,-9.771824814379215240e-03,-4.439613316208124161e-03
2.088999938964843750e+02,1.257683243602514267e-02,-9.753240272402763367e-03,-5.970485974103212357e-03
2.090000000000000000e+02,1.794381067156791687e-02,-9.737198241055011749e-03,4.438128322362899780e-03
2.091000061035156250e+02,2.071196027100086212e-02,-9.718488901853561401e-03,1.850918750278651714e-03
2.091999969482421875e+02,2.759545482695102692e-02,-9.698414243757724762e-03,5.971050821244716644e-03
2.093000030517578125e+02,2.975624054670333862e-02,-9.674917906522750854e-03,1.251064823009073734e-03
2.093999938964843750e+02,3.843276202678680420e-02,-9.650364518165588379e-03,7.767477072775363922e-03
2.095000000000000000e+02,4.025243595242500305e-02,-9.621498174965381622e-03,8.973835501819849014e-04
2.096000061035156250e+02,4.862114042043685913e-02,-9.591750800609588623e-03,7.444210816174745560e-03
2.096999969482421875e+02,5.783528834581375122e-02,-9.557848796248435974e-03,8.261349983513355255e-03
2.098000030517578125e+02,5.120135843753814697e-02,-9.519373066723346710e-03,-7.632409688085317612e-03
2.098999938964843750e+02,3.500557318329811096e-02,-9.484252892434597015e-03,-1.715356111526489258e-02
2.100000000000000000e+02,5.054620653390884399e-02,-9.457265958189964294e-03,1.464285887777805328e-02
2.101000061035156250e+02,5.392943322658538818e-02,-9.422536008059978485e-03,2.434878610074520111e-03
2.101999969482421875e+02,3.862669318914413452e-02,-9.386148303747177124e-03,-1.626504212617874146e-02
2.103000030517578125e+02,3.275118768215179443e-02,-9.357448667287826538e-03,-6.771886255592107773e-03
2.103999938964843750e+02,4.095493257045745850e-02,-9.331715293228626251e-03,7.322642486542463303e-03
2.105000000000000000e+02,3.919932991266250610e-02,-9.301906451582908630e-03,-2.653247443959116936e-03
2.106000061035156250e+02,3.523100167512893677e-02,-9.273004718124866486e-03,-4.857840947806835175e-03
2.106999969482421875e+02,4.939803481101989746e-02,-9.246116504073143005e-03,1.328993216156959534e-02
2.108000030517578125e+02,4.038438200950622559e-02,-9.212171658873558044e-03,-9.935438632965087891e-03
2.108999938964843750e+02,3.369638696312904358e-02,-9.182767011225223541e-03,-7.571947760879993439e-03
2.110000000000000000e+02,3.656696528196334839e-02,-9.156735613942146301e-03,2.005388261750340462e-03
2.111000061035156250e+02,4.113949462771415710e-02,-9.129295125603675842e-03,3.704180708155035973e-03
2.111999969482421875e+02,4.672619700431823730e-02,-9.099596180021762848e-03,4.708723630756139755e-03
2.113000030517578125e+02,5.626633763313293457e-02,-9.067133069038391113e-03,8.644763380289077759e-03
2.113999938964843750e+02,5.909020826220512390e-02,-9.029932320117950439e-03,1.883882214315235615e-03
2.115000000000000000e+02,6.468644738197326660e-02,-8.991356939077377319e-03,4.642703570425510406e-03
2.116000061035156250e+02,6.321536749601364136e-02,-8.950022049248218536e-03,-2.459074836224317551e-03
2.116999969482421875e+02,6.478343904018402100e-02,-8.909463882446289062e-03,5.948083125986158848e-04
2.118000030517578125e+02,6.678411364555358887e-02,-8.868162520229816437e-03,1.020158757455646992e-03
2.118999938964843750e+02,6.981613487005233765e-02,-8.825901895761489868e-03,2.040600171312689781e-03
2.120000000000000000e+02,7.815637439489364624e-02,-8.782167918980121613e-03,7.328955922275781631e-03
2.121000061035156250e+02,8.450402319431304932e-02,-8.734307251870632172e-03,5.266574211418628693e-03
2.121999969482421875e+02,8.606386929750442505e-02,-8.683321066200733185e-03,4.194793291389942169e-04
2.123000030517578125e+02,7.953982800245285034e-02,-8.631605654954910278e-03,-7.676043082028627396e-03
2.123999938964843750e+02,8.126124739646911621e-02,-8.583203889429569244e-03,6.419859128072857857e-04
2.125000000000000000e+02,8.208715915679931641e-02,-8.533990010619163513e-03,-2.658000448718667030e-04
2.126000061035156250e+02,8.501501381397247314e-02,-8.484411984682083130e-03,1.832681358791887760e-03
2.126999969482421875e+02,1.070687621831893921e-01,-8.433420211076736450e-03,2.093293704092502594e-02
2.128000030517578125e+02,1.034887656569480896e-01,-8.371452800929546356e-03,-4.968944936990737915e-03
2.128999938964843750e+02,1.088283583521842957e-01,-8.311336860060691833e-03,4.006185568869113922e-03
2.130000000000000000e+02,1.203663572669029236e-01,-8.248611353337764740e-03,1.013632118701934814e-02
2.131000061035156250e+02,1.228659749031066895e-01,-8.180179633200168610e-03,9.297278011217713356e-04
2.131999969482421875e+02,1.466480195522308350e-01,-8.110566064715385437e-03,2.217874675989151001e-02
2.133000030517578125e+02,1.450821608304977417e-01,-8.029131218791007996e-03,-3.586395643651485443e-03
2.133999938964843750e+02,1.501389890909194946e-01,-7.948560640215873718e-03,3.074580337852239609e-03
2.135000000000000000e+02,1.446334570646286011e-01,-7.865542545914649963e-03,-7.578136865049600601e-03
2.136000061035156250e+02,1.432559043169021606e-01,-7.785360328853130341e-03,-3.334856359288096428e-03
2.136999969482421875e+02,1.475405991077423096e-01,-7.705946918576955795e-03,2.361594466492533684e-03
2.138000030517578125e+02,1.575667262077331543e-01,-7.624470628798007965e-03,8.028745651245117188e-03
2.138999938964843750e+02,1.627842038869857788e-01,-7.538062985986471176e-03,3.027199301868677139e-03
2.140000000000000000e+02,1.770201027393341064e-01,-7.449132855981588364e-03,1.194501202553510666e-02
2.141000061035156250e+02,1.787145733833312988e-01,-7.353173568844795227e-03,-9.009200148284435272e-04
2.141999969482421875e+02,1.781878769397735596e-01,-7.256463170051574707e-03,-3.151227254420518875e-03
2.143000030517578125e+02,2.064429223537445068e-01,-7.160112727433443069e-03,2.565225586295127869e-02
2.143999938964843750e+02,2.134619206190109253e-01,-7.049730978906154633e-03,3.740066662430763245e-03
2.145000000000000000e+02,2.100857496261596680e-01,-6.935950368642807007e-03,-6.825601216405630112e-03
2.146000061035156250e+02,2.068496048450469971e-01,-6.823971401900053024e-03,-6.586364470422267914e-03
2.146999969482421875e+02,2.011622786521911621e-01,-6.713722832500934601e-03,-8.943046443164348602e-03
2.148000030517578125e+02,2.131478488445281982e-01,-6.606427952647209167e-03,8.885077200829982758e-03
2.148999938964843750e+02,2.130879461765289307e-01,-6.493247579783201218e-03,-3.456786507740616798e-03
2.150000000000000000e+02,2.176802158355712891e-01,-6.380210164934396744e-03,1.208266592584550381e-03
2.151000061035156250e+02,2.205712646245956421e-01,-6.264989729970693588e-03,-6.024962058290839195e-04
2.151999969482421875e+02,2.310697585344314575e-01,-6.148438900709152222e-03,6.939546205103397369e-03
2.153000030517578125e+02,2.268688678741455078e-01,-6.026755552738904953e-03,-8.032919839024543762e-03
2.153999938964843750e+02,2.203700393438339233e-01,-5.907294340431690216e-03,-1.020377501845359802e-02
2.155000000000000000e+02,2.260157167911529541e-01,-5.791202187538146973e-03,2.127871150150895119e-03
2.156000061035156250e+02,2.353751212358474731e-01,-5.672403145581483841e-03,5.701200570911169052e-03
2.156999969482421875e+02,2.424333095550537109e-01,-5.549042951315641403e-03,3.154678503051400185e-03
2.158000030517578125e+02,2.388432770967483521e-01,-5.422277376055717468e-03,-7.679152302443981171e-03
2.158999938964843750e+02,2.492458075284957886e-01,-5.297433584928512573e-03,6.427185609936714172e-03
2.160000000000000000e+02,2.464469969272613525e-01,-5.167513154447078705e-03,-7.056884467601776123e-03
2.161000061035156250e+02,2.456642389297485352e-01,-5.039121955633163452e-03,-4.947749897837638855e-03
2.161999969482421875e+02,2.408389449119567871e-01,-4.911250900477170944e-03,-8.955129422247409821e-03
2.163000030517578125e+02,2.571631669998168945e-01,-4.785920027643442154e-03,1.234387233853340149e-02
2.163999938964843750e+02,2.676083743572235107e-01,-4.652552306652069092e-03,6.009164266288280487e-03
2.165000000000000000e+02,2.780781090259552002e-01,-4.514095373451709747e-03,5.739470943808555603e-03
2.166000061035156250e+02,2.949402928352355957e-01,-4.370542243123054504e-03,1.183208636939525604e-02
2.166999969482421875e+02,3.271540403366088867e-01,-4.218701738864183426e-03,2.668313309550285339e-02
2.168000030517578125e+02,3.174616098403930664e-01,-4.050905816256999969e-03,-1.621514186263084412e-02
2.168999938964843750e+02,3.166571855545043945e-01,-3.888124134391546249e-03,-7.004855200648307800e-03
2.170000000000000000e+02,3.169705271720886230e-01,-3.725907532498240471e-03,-5.845549982041120529e-03
2.171000061035156250e+02,3.150514662265777588e-01,-3.563696285709738731e-03,-8.071583695709705353e-03
2.171999969482421875e+02,3.109046220779418945e-01,-3.402606816962361336e-03,-1.022285223007202148e-02
2.173000030517578125e+02,3.139918148517608643e-01,-3.243751823902130127e-03,-2.842758549377322197e-03
2.173999938964843750e+02,3.084608912467956543e-01,-3.083512187004089355e-03,-1.154171582311391830e-02
2.175000000000000000e+02,3.174610435962677002e-01,-2.926198299974203110e-03,3.178491024300456047e-03
2.176000061035156250e+02,3.240394592285156250e-01,-2.764541655778884888e-03,4.904533270746469498e-04
2.176999969482421875e+02,3.348818421363830566e-01,-2.599757397547364235e-03,4.563438706099987030e-03
2.178000030517578125e+02,3.463039100170135498e-01,-2.429716754704713821e-03,4.816735163331031799e-03
2.178999938964843750e+02,3.589751720428466797e-01,-2.254134975373744965e-03,5.720625165849924088e-03
2.180000000000000000e+02,3.627679944038391113e-01,-2.072393195703625679e-03,-3.542468184605240822e-03
2.181000061035156250e+02,3.903283476829528809e-01,-1.888936851173639297e-03,2.012293227016925812e-02
2.181999969482421875e+02,4.008401036262512207e-01,-1.691883779130876064e-03,2.224008785560727119e-03
2.183000030517578125e+02,3.917662501335144043e-01,-1.489771879278123379e-03,-1.766908168792724609e-02
2.183999938964843750e+02,3.905496597290039062e-01,-1.292399014346301556e-03,-9.509371593594551086e-03
2.185000000000000000e+02,3.822728097438812256e-01,-1.095831743441522121e-03,-1.651186123490333557e-02
2.186000061035156250e+02,3.903931379318237305e-01,-9.035994880832731724e-04,1.644507283344864845e-04
2.186999969482421875e+02,3.974288403987884521e-01,-7.074993336573243141e-04,-1.155545818619430065e-03
2.188000030517578125e+02,4.013759195804595947e-01,-5.080774426460266113e-04,-4.443876445293426514e-03
2.188999938964843750e+02,4.289466738700866699e-01,-3.068814112339168787e-04,1.907731965184211731e-02
2.190000000000000000e+02,4.434678256511688232e-01,-9.210119605995714664e-05,5.208109039813280106e-03
2.191000061035156250e+02,4.600763618946075439e-01,1.297248236369341612e-04,6.888373754918575287e-03
2.191999969482421875e+02,4.614169895648956299e-01,3.596332680899649858e-04,-8.832938969135284424e-03
2.193000030517578125e+02,4.621264934539794922e-01,5.899821408092975616e-04,-9.478720836341381073e-03
2.193999938964843750e+02,4.726607203483581543e-01,8.204554324038326740e-04,3.491676179692149162e-04
2.195000000000000000e+02,4.847548902034759521e-01,1.055965316481888294e-03,1.641289796680212021e-03
2.196000061035156250e+02,4.778975546360015869e-01,1.297286828048527241e-03,-1.761051826179027557e-02
2.196999969482421875e+02,4.867338240146636963e-01,1.534938346594572067e-03,-1.710542594082653522e-03
2.198000030517578125e+02,4.976244866847991943e-01,1.776770339347422123e-03,1.334995031356811523e-04
2.198999938964843750e+02,5.065960884094238281e-01,2.023805864155292511e-03,-2.041084226220846176e-03
2.200000000000000000e+02,5.100901126861572266e-01,2.275080187246203423e-03,-7.716498803347349167e-03
2.201000061035156250e+02,5.162416696548461914e-01,2.527850214391946793e-03,-5.118479952216148376e-03
2.201999969482421875e+02,5.259547829627990723e-01,2.783443313091993332e-03,-1.677833613939583302e-03
2.203000030517578125e+02,5.384046435356140137e-01,3.043637145310640335e-03,8.614046382717788219e-04
2.203999938964843750e+02,5.559759140014648438e-01,3.309795865789055824e-03,5.737556610256433487e-03
2.205000000000000000e+02,5.783897042274475098e-01,3.584474092349410057e-03,1.025390252470970154e-02
2.206000061035156250e+02,5.881238579750061035e-01,3.870084416121244431e-03,-2.792427781969308853e-03
2.206999969482421875e+02,5.964445471763610840e-01,4.160276148468255997e-03,-4.327477421611547470e-03
2.208000030517578125e+02,6.133333444595336914e-01,4.454337991774082184e-03,4.151966422796249390e-03
2.208999938964843750e+02,6.320426464080810547e-01,4.756550304591655731e-03,5.794983822852373123e-03
2.210000000000000000e+02,6.409840583801269531e-01,5.067815072834491730e-03,-4.119187127798795700e-03
2.211000061035156250e+02,6.615755558013916016e-01,5.383239127695560455e-03,7.498330902308225632e-03
2.211999969482421875e+02,6.840231418609619141e-01,5.708643700927495956e-03,9.293162263929843903e-03
2.213000030517578125e+02,7.094097733497619629e-01,6.044946610927581787e-03,1.225401367992162704e-02
2.213999938964843750e+02,7.392694950103759766e-01,6.393606774508953094e-03,1.687063276767730713e-02
2.215000000000000000e+02,7.436962723731994629e-01,6.756847724318504333e-03,-8.219544775784015656e-03
2.216000061035156250e+02,7.563751339912414551e-01,7.121939212083816528e-03,1.318499853368848562e-04
2.216999969482421875e+02,7.687864303588867188e-01,7.493004668503999710e-03,1.069896243279799819e-04
2.218000030517578125e+02,7.798834443092346191e-01,7.869904860854148865e-03,-9.304075501859188080e-04
2.218999938964843750e+02,7.854665517807006836e-01,8.251976221799850464e-03,-6.159448996186256409e-03
2.220000000000000000e+02,7.829413414001464844e-01,8.636457845568656921e-03,-1.409327890723943710e-02
2.221000061035156250e+02,7.954128384590148926e-01,9.019291959702968597e-03,8.792344015091657639e-04
2.221999969482421875e+02,7.993518710136413574e-01,9.407979436218738556e-03,-7.289262022823095322e-03
2.223000030517578125e+02,8.112456202507019043e-01,9.798247367143630981e-03,8.158058044500648975e-04
2.223999938964843750e+02,8.143895268440246582e-01,1.019407156854867935e-02,-7.532958406955003738e-03
2.225000000000000000e+02,8.144922852516174316e-01,1.059107203036546707e-02,-1.043227501213550568e-02
2.226000061035156250e+02,8.272069692611694336e-01,1.098772697150707245e-02,2.222749404609203339e-03
2.226999969482421875e+02,8.386490345001220703e-01,1.139034237712621689e-02,1.431767363101243973e-03
2.228000030517578125e+02,8.536772727966308594e-01,1.179827656596899033e-02,5.495551507920026779e-03
2.228999938964843750e+02,8.832733035087585449e-01,1.221331674605607986e-02,2.073692530393600464e-02
2.230000000000000000e+02,8.932737708091735840e-01,1.264274027198553085e-02,2.630599541589617729e-03
2.231000061035156250e+02,9.046508073806762695e-01,1.307673472911119461e-02,4.601889755576848984e-03
2.231999969482421875e+02,9.004924893379211426e-01,1.351598370820283890e-02,-1.022264454513788223e-02
2.233000030517578125e+02,8.945531249046325684e-01,1.395271439105272293e-02,-1.220867596566677094e-02
2.233999938964843750e+02,9.161403775215148926e-01,1.438603829592466354e-02,1.501603890210390091e-02
2.235000000000000000e+02,9.125952124595642090e-01,1.482972223311662674e-02,-8.760898374021053314e-03
2.236000061035156250e+02,9.080890417098999023e-01,1.527119055390357971e-02,-9.903723374009132385e-03
2.236999969482421875e+02,9.133529067039489746e-01,1.570996455848217010e-02,-3.709249431267380714e-04
2.238000030517578125e+02,9.177587628364562988e-01,1.615093089640140533e-02,-8.556403336115181446e-04
2.238999938964843750e+02,9.141314029693603516e-01,1.659365929663181305e-02,-8.561928756535053253e-03
2.240000000000000000e+02,9.163618087768554688e-01,1.703413203358650208e-02,-2.893229946494102478e-03
2.241000061035156250e+02,9.329613447189331055e-01,1.747527904808521271e-02,1.166288182139396667e-02
2.241999969482421875e+02,9.290899038314819336e-01,1.792428456246852875e-02,-7.646326906979084015e-03
2.243000030517578125e+02,9.198675155639648438e-01,1.837090589106082916e-02,-1.322153769433498383e-02
2.243999938964843750e+02,9.333845376968383789e-01,1.881246827542781830e-02,8.942227810621261597e-03
2.245000000000000000e+02,9.416663050651550293e-01,1.926034875214099884e-02,4.670338705182075500e-03
2.246000061035156250e+02,9.387515187263488770e-01,1.971192099153995514e-02,-5.886756349354982376e-03
2.246999969482421875e+02,9.268806576728820801e-01,2.016158401966094971e-02,-1.500975433737039566e-02
2.248000030517578125e+02,9.237432479858398438e-01,2.060486190021038055e-02,-7.064117584377527237e-03
2.248999938964843750e+02,9.273185729980468750e-01,2.104612812399864197e-02,-5.189718795008957386e-04
2.250000000000000000e+02,9.421855211257934570e-01,2.148874104022979736e-02,1.105853635817766190e-02
2.251000061035156250e+02,9.350627064704895020e-01,2.193834446370601654e-02,-9.833879768848419189e-03
2.251999969482421875e+02,9.374411702156066895e-01,2.238393761217594147e-02,-8.018260123208165169e-04
2.253000030517578125e+02,9.468121528625488281e-01,2.283027395606040955e-02,6.404984742403030396e-03
2.253999938964843750e+02,9.264546632766723633e-01,2.328084968030452728e-02,-2.259068563580513000e-02
2.255000000000000000e+02,9.399057626724243164e-01,2.372079528868198395e-02,9.807356633245944977e-03
2.256000061035156250e+02,9.313424229621887207e-01,2.416702732443809509e-02,-1.121771149337291718e-02
2.256999969482421875e+02,9.377109408378601074e-01,2.460853196680545807e-02,3.149585798382759094e-03
2.258000030517578125e+02,9.427753686904907227e-01,2.505277842283248901e-02,2.340241800993680954e-03
2.258999938964843750e+02,9.553759098052978516e-01,2.549911290407180786e-02,1.028928998857736588e-02
2.260000000000000000e+02,9.619123935699462891e-01,2.595130167901515961e-02,5.226527806371450424e-03
2.261000061035156250e+02,9.401052594184875488e-01,2.640630677342414856e-02,-2.255295775830745697e-02
2.261999969482421875e+02,9.350315332412719727e-01,2.684995345771312714e-02,-7.445069495588541031e-03
2.263000030517578125e+02,9.390340447425842285e-01,2.729061990976333618e-02,1.311128959059715271e-03
2.263999938964843750e+02,9.395448565483093262e-01,2.773284539580345154e-02,-1.849741558544337749e-03
2.265000000000000000e+02,9.463552236557006836e-01,2.817488461732864380e-02,4.531013313680887222e-03
2.266000061035156250e+02,9.555768370628356934e-01,2.861988730728626251e-02,7.488588802516460419e-03
2.266999969482421875e+02,9.623312950134277344e-01,2.906905673444271088e-02,5.772280041128396988e-03
2.268000030517578125e+02,9.606987833976745605e-01,2.952115423977375031e-02,-2.032790565863251686e-03
2.268999938964843750e+02,9.436692595481872559e-01,2.997198328375816345e-02,-1.751589030027389526e-02
2.270000000000000000e+02,9.411014914512634277e-01,3.041384555399417877e-02,-4.321074578911066055e-03
2.271000061035156250e+02,9.469494223594665527e-01,3.085398301482200623e-02,3.950015176087617874e-03
2.271999969482421875e+02,9.380250573158264160e-01,3.129660338163375854e-02,-1.034489087760448456e-02
2.273000030517578125e+02,9.460466504096984863e-01,3.173431754112243652e-02,5.988798104226589203e-03
2.273999938964843750e+02,9.560646414756774902e-01,3.217560797929763794e-02,8.617775514721870422e-03
2.275000000000000000e+02,9.578565955162048340e-01,3.262146562337875366e-02,1.203565858304500580e-03
2.276000061035156250e+02,9.291936755180358887e-01,3.306777402758598328e-02,-2.906556800007820129e-02
2.276999969482421875e+02,9.195463657379150391e-01,3.349930420517921448e-02,-1.212501060217618942e-02
2.278000030517578125e+02,9.405233860015869141e-01,3.392557799816131592e-02,1.789396069943904877e-02
2.278999938964843750e+02,9.369274377822875977e-01,3.436191380023956299e-02,-5.184912588447332382e-03
2.280000000000000000e+02,9.199092388153076172e-01,3.479601442813873291e-02,-1.882323622703552246e-02
2.281000061035156250e+02,9.345573782920837402e-01,3.522117435932159424e-02,1.171858608722686768e-02
2.281999969482421875e+02,9.365718960762023926e-01,3.565323352813720703e-02,1.267022598767653108e-04
2.283000030517578125e+02,9.487556219100952148e-01,3.608586639165878296e-02,1.048238575458526611e-02
